CAS:84905-66-8:type:CHEMICAL	5H-Pyrrolo(3,2-d)pyrimidine-7-carbonitrile, 4-(butylamino)-2-methyl-|5H-Pyrrolo(3,2-d)pyrimidine-7-carbonitrile, 4-(butylamino)-2-methyl-|C12-H15-N5|BRN 5045902|4-(Butylamino)-2-methyl-5H-pyrrolo(3,2-d)pyrimidine-7-carbonitrile|2-Methyl-4-butylamino-7-cyanopyrrolo(3,2-d)pyrimidine|
CAS:84905-62-4:type:CHEMICAL	Ammonium, (3,6-dihydrobenzo(1,2-b:4,3-b')dipyrrol-1,8-ylenedimethylene)bis(trimethyl-, diiodide|Ammonium, (3,6-dihydrobenzo(1,2-b:4,3-b')dipyrrol-1,8-ylenedimethylene)bis(trimethyl-, diiodide|C18-H28-N4.2I|Benzo(1,2-b:4,3-b')dipyrrole-1,8-dimethanaminium, 3,6-dihydro-N,N,N,N',N',N'-hexamethyl-, 2I|1,8-Bis(dimethylaminomethyl)-3H,6H-pyrrolo(3,2-e)indole dimethiodide|
CAS:84905-61-3:type:CHEMICAL	Ammonium, (1,7-dihydrobenzo(1,2-b:5,4-b')dipyrrol-3,5-ylenedimethylene)bis(trimethyl-, diiodide|Ammonium, (1,7-dihydrobenzo(1,2-b:5,4-b')dipyrrol-3,5-ylenedimethylene)bis(trimethyl-, diiodide|C18-H28-N4.2I|Benzo(1,2-b:5,4-b')dipyrrole-3,5-dimethanaminium, 1,7-dihydro-N,N,N,N',N',N'-hexamethyl-, 2I|3,5-Bis(dimethylaminomethyl)-1H,7H-pyrrolo(3,2-f)indole dimethiodide|
CAS:84905-60-2:type:CHEMICAL	Ammonium, (1,5-dihydrobenzo(1,2-b:4,5-b')dipyrrol-3,7-ylenedimethylene)bis(trimethyl-, diiodide|Ammonium, (1,5-dihydrobenzo(1,2-b:4,5-b')dipyrrol-3,7-ylenedimethylene)bis(trimethyl-, diiodide|C18-H28-N4.2I|Benzo(1,2-b:4,5-b')dipyrrole-3,7-dimethanaminium, 1,5-dihydro-N,N,N,N',N',N'-hexamethyl-, 2Br|3,7-Bis(dimethylaminomethyl)-1H,5H-pyrrolo(2,3-f)indole dimethiodide|
CAS:84905-59-9:type:CHEMICAL	Ammonium, oxybis((2-carboxy-5,3-indolylene)methylene)bis(trimethyl-, bis(methyl sulfate), diethyl ester|Ammonium, oxybis((2-carboxy-5,3-indolylene)methylene)bis(trimethyl-, bis(methyl sulfate), diethyl ester|C30-H40-N4-O5.2C-H3-O4-S|2,2'-Diethoxycarbonyl-3,3'-bis(dimethylaminomethyl)bis-(5-indolyl) oxide dimethosulfate|1H-Indole-3-methanaminium, 5,5'-oxybis(2-(ethoxycarbonyl)-N,N,N-trimethyl-, bis(methylsulfate)|
CAS:84905-57-7:type:CHEMICAL	Ammonium, oxybis((5,3-indolylene)methylene)bis(trimethyl-, bis(methyl sulfate)|Ammonium, oxybis((5,3-indolylene)methylene)bis(trimethyl-, bis(methyl sulfate)|C24-H32-N4-O.2C-H3-O4-S|3,3'-Bis(dimethylaminomethyl)bis(5-indolyl) oxide dimethosulfate|1H-Indole-3-methanaminium, 5,5'-oxybis(N,N,N'trimethyl-, bis(methyl sulfate)|Oxybis((5,3-indolylene)methylene)bis(trimethylammonium) bis(methyl sulfate)|
CAS:84905-06-6:type:CHEMICAL	1,8-Diazabicyclo(6.3.2)tridecane|1,8-Diazabicyclo(6.3.2)tridecane|
CAS:84905-04-4:type:CHEMICAL	1,8-Diazabicyclo(6.5.3)hexadecane|1,8-Diazabicyclo(6.5.3)hexadecane|
CAS:84905-03-3:type:CHEMICAL	1,8-Diazabicyclo(6.4.3)pentadecane|1,8-Diazabicyclo(6.4.3)pentadecane|
CAS:84905-02-2:type:CHEMICAL	1,7-Diazabicyclo(5.5.3)pentadecane|1,7-Diazabicyclo(5.5.3)pentadecane|
