CA2054325C	A	20	36	oligonucleotides	FAMILY
CA2054325C	A	221	236	oligonucleotide	FAMILY
CA2054325C	T	10	26	oligonucleotides	FAMILY
CA2073500C	A	230	240	nucleotide	FAMILY
CA2073500C	A	374	390	oligonucleotides	FAMILY
CA2098842C	A	141	153	phospholipid	FAMILY
CA2098842C	T	17	30	phospholipids	FAMILY
CA2110291C	A	838	853	dextran sulfate	FAMILY
CA2110291C	A	867	878	polysulfate	FAMILY
CA2110291C	A	926	941	dextran sulfate	FAMILY
CA2117257C	A	78	86	alginate	FAMILY
CA2117257C	T	0	8	Alginate	FAMILY
CA2119782C	A	12	22	carbamates	FAMILY
CA2119782C	A	160	173	C1- C10 alkyl	FAMILY
CA2119782C	A	256	269	-C1-C10 alkyl	FAMILY
CA2119782C	A	404	417	C1-C10 -alkyl	FAMILY
CA2119782C	T	0	9	Carbamate	FAMILY
CA2137764C	A	117	146	polyalkylene glycol glyceride	FAMILY
CA2137764C	A	169	206	sters of C8-C18 saturated fatty acids	FAMILY
CA2137764C	A	225	244	polyethylene glycol	FAMILY
CA2137764C	T	116	145	polyalkylene glycol glyceride	FAMILY
CA2144312C	A	28	55	polyunsaturated dioic acids	FAMILY
CA2144312C	A	429	452	unsaturated dioic acids	FAMILY
CA2144312C	T	0	40	Unsaturated aliphatic dicarboxylic acids	FAMILY
CA2155014C	A	493	504	C1-C6 alkyl	FAMILY
CA2155014C	A	506	519	C2-C6 alkenyl	FAMILY
CA2155014C	A	521	534	C2-C6 alkynyl	FAMILY
CA2155014C	A	536	551	monocyclic aryl	FAMILY
CA2155014C	A	555	576	monocyclic heteroaryl	FAMILY
CA2155014C	A	57	69	baccatin III	FAMILY
CA2155014C	T	31	43	baccatin iii	FAMILY
CA2156289C	A	126	159	poly(adenylic acid-uridylic acid)	FAMILY
CA2156289C	A	594	627	poly(adenylic acid-uridylic acid)	FAMILY
CA2157128C	A	179	190	C1-C6 alkyl	FAMILY
CA2157128C	A	228	240	C1-C6 alkoxy	FAMILY
CA2157128C	A	276	283	halogen	FAMILY
CA2157128C	A	294	305	C1-C6 alkyl	FAMILY
CA2157128C	A	307	319	C1-C6 alkoxy	FAMILY
CA2157128C	A	331	344	C2-C6 acyloxy	FAMILY
CA2157128C	A	404	411	halogen	FAMILY
CA2157128C	A	4	16	camptothecin	FAMILY
CA2157128C	A	438	449	C1-C6 alkyl	FAMILY
CA2157128C	A	451	474	C3-C6 unsaturated alkyl	FAMILY
CA2157128C	A	476	490	alkylthioalkyl	FAMILY
CA2157128C	A	492	503	alkoxyalkyl	FAMILY
CA2157128C	T	0	12	Camptothecin	FAMILY
CA2157792C	A	27	40	beta.-alanine	FAMILY
CA2157792C	T	0	39	N-(3-piperidinyl-carbonyl)-beta-alanine	FAMILY
CA2158610C	A	0	38	17-Deoxycorticoid-21-carboxylic esters	FAMILY
CA2158610C	A	190	194	aryl	FAMILY
CA2158610C	A	198	205	hetaryl	FAMILY
CA2158610C	A	347	362	carboxylic acid	FAMILY
CA2158610C	A	383	408	R(5)-CO-[(C1-C4)-alkyl]-R	FAMILY
CA2158610C	A	643	662	corticoid 21-esters	FAMILY
CA2158610C	A	686	701	aryl or hetaryl	FAMILY
CA2158610C	A	718	723	ester	FAMILY
CA2158610C	A	764	774	corticoids	FAMILY
CA2158610C	T	0	47	17-deoxycorticosteroid-21-/o/-carboxylic esters	FAMILY
CA2168021C	A	202	211	C1-6alkyl	FAMILY
CA2168021C	A	231	240	C1-6alkyl	FAMILY
CA2168021C	A	260	269	C1-6alkyl	FAMILY
CA2168021C	A	287	291	halo	FAMILY
CA2168021C	A	293	302	C1-6alkyl	FAMILY
CA2168021C	A	313	325	C1-5alkyloxy	FAMILY
CA2168021C	A	327	334	aryloxy	FAMILY
CA2168021C	A	338	349	arylmethoxy	FAMILY
CA2168021C	A	521	532	heterocycle	FAMILY
CA2168021C	A	561	568	alkenyl	FAMILY
CA2168021C	A	572	579	alkynyl	FAMILY
CA2168021C	A	657	661	halo	FAMILY
CA2168021C	A	663	672	C1-6alkyl	FAMILY
CA2168021C	A	674	685	C3-6alkenyl	FAMILY
CA2168021C	A	687	698	C3-6alkynyl	FAMILY
CA2168021C	A	709	721	C1-6alkyloxy	FAMILY
CA2168021C	A	730	744	aminoC1-6alkyl	FAMILY
CA2168021C	A	756	776	C1-6alkyloxycarbonyl	FAMILY
CA2168021C	A	807	829	C1-6alkylcarbonylamino	FAMILY
CA2168021C	A	834	857	mono-di(C1-6alkyl)amino	FAMILY
CA2168021C	A	866	883	heterocyclic ring	FAMILY
CA2168021C	T	17	34	dihydrobenzopyran	FAMILY
CA2173839C	A	216	227	cyclosporin	FAMILY
CA2175372C	A	234	248	C1-4alkanediyl	FAMILY
CA2175372C	A	256	276	bicyclic heterocycle	FAMILY
CA2175372C	A	332	343	C2-6alkenyl	FAMILY
CA2175372C	A	345	356	C2-6alkynyl	FAMILY
CA2175372C	A	358	372	C3-6cycloalkyl	FAMILY
CA2175372C	A	401	410	C1-4alkyl	FAMILY
CA2175372C	A	412	422	C1-19alkyl	FAMILY
CA2175372C	A	451	465	C3-6cycloalkyl	FAMILY
CA2175372C	A	467	471	halo	FAMILY
CA2175372C	A	473	485	C1-6alkyloxy	FAMILY
CA2175372C	A	537	546	C1-4alkyl	FAMILY
CA2175372C	T	6	50	9-hydroxy-pyrido[1,2-a]pyrimidin-4-one ether	FAMILY
CA2187449C	A	0	21	Cyclopentaquinazoline	FAMILY
CA2187449C	A	115	131	C1-4 fluoroalkyl	FAMILY
CA2187449C	A	157	167	C1-4 alkyl	FAMILY
CA2187449C	A	169	181	C3-4 alkenyl	FAMILY
CA2187449C	A	183	195	C3-4 alkynyl	FAMILY
CA2187449C	A	197	214	C2-4 hydroxyalkyl	FAMILY
CA2187449C	A	216	234	C2-4 halogenoalkyl	FAMILY
CA2187449C	A	238	253	C1-4 cyanoalkyl	FAMILY
CA2187449C	A	262	271	phenylene	FAMILY
CA2187449C	A	397	405	halogeno	FAMILY
CA2187449C	A	454	464	C1-4 alkyl	FAMILY
CA2187449C	A	469	480	C1-4 alkoxy	FAMILY
CA2187449C	A	637	650	C1-2 alkylene	FAMILY
CA2187449C	A	665	674	phenylene	FAMILY
CA2187449C	A	69	79	C1-4 alkyl	FAMILY
CA2187449C	A	770	779	phenylene	FAMILY
CA2187449C	A	81	92	C1-4 alkoxy	FAMILY
CA2187449C	A	850	858	halogeno	FAMILY
CA2187449C	A	867	877	C1-4 alkyl	FAMILY
CA2187449C	A	882	893	C1-4 alkoxy	FAMILY
CA2187449C	A	903	916	C1-3 alkylene	FAMILY
CA2187449C	A	920	935	C2-3 alkenylene	FAMILY
CA2187449C	A	94	111	C1-4 hydroxyalkyl	FAMILY
CA2187449C	A	985	990	ester	FAMILY
CA2187449C	T	33	54	cyclopentaquinazoline	FAMILY
CA2202503C	A	132	159	polyunsaturated fatty acids	FAMILY
CA2202503C	A	174	181	carbons	FAMILY
CA2202503C	A	31	57	polyunsaturated fatty acid	FAMILY
CA2202503C	A	391	417	polyunsaturated fatty acid	FAMILY
CA2202503C	A	573	583	amino acid	FAMILY
CA2202503C	A	638	676	unsaturated oxa substituted fatty acid	FAMILY
CA2202503C	A	700	722	unsaturated fatty acid	FAMILY
CA2202503C	A	723	730	alcohol	FAMILY
CA2202503C	A	785	792	alcohol	FAMILY
CA2202503C	A	949	975	polyunsaturated fatty acid	FAMILY
CA2202503C	T	9	36	polyunsaturated fatty acids	FAMILY
CA2203237C	A	165	170	alkyl	FAMILY
CA2203237C	A	178	185	alkenyl	FAMILY
CA2203237C	A	193	200	alkynyl	FAMILY
CA2203237C	A	205	209	aryl	FAMILY
CA2203237C	T	0	14	Aminotetrazole	FAMILY
CA2205573C	A	48	57	benzamide	FAMILY
CA2205573C	T	14	23	benzamide	FAMILY
CA2207503C	A	290	295	ester	FAMILY
CA2207503C	T	7	18	aminopurine	FAMILY
CA2207804C	A	118	129	hydrocarbon	FAMILY
CA2207804C	A	226	237	hydrocarbon	FAMILY
CA2207804C	A	279	284	alkyl	FAMILY
CA2207804C	A	33	39	amides	FAMILY
CA2207804C	A	376	381	amide	FAMILY
CA2207804C	A	400	405	amide	FAMILY
CA2207804C	T	0	6	Amides	FAMILY
CA2207804C	T	10	37	mono and bicarboxylic acids	FAMILY
CA2207804C	T	43	54	amino acids	FAMILY
CA2207804C	T	58	70	glycosamines	FAMILY
CA2207804C	T	98	109	cannabinoid	FAMILY
CA2213842C	A	396	404	estrogen	FAMILY
CA2213842C	A	422	430	estrogen	FAMILY
CA2217479C	A	0	17	Phenoxyethylamine	FAMILY
CA2217479C	A	378	389	hydrocarbon	FAMILY
CA2217479C	A	433	438	alkyl	FAMILY
CA2217479C	A	440	447	alkenyl	FAMILY
CA2217479C	A	451	458	alkynyl	FAMILY
CA2217479C	A	502	512	polycyclic	FAMILY
CA2217479C	A	513	523	cycloalkyl	FAMILY
CA2217479C	A	525	540	cycloalkylalkyl	FAMILY
CA2217479C	A	544	559	alkylcycloalkyl	FAMILY
CA2231545C	T	32	58	1,2,4-benzotriazine oxides	FAMILY
CA2233620C	A	18	46	pyrazolyl benzenesulfonamide	FAMILY
CA2233620C	T	12	41	pyrazolyl benzenesulfonamides	FAMILY
CA2246760C	A	373	378	thiol	FAMILY
CA2250630C	A	125	135	amino acid	FAMILY
CA2250630C	A	72	89	NH2-R-actagardine	FAMILY
CA2250630C	A	97	102	NH2-R	FAMILY
CA2253130C	A	199	223	24-alkylcholestan-3-ones	FAMILY
CA2253130C	A	228	253	24- alkylcholesten-3-ones	FAMILY
CA2253130C	A	262	286	24-alkylcholestan-3-ones	FAMILY
CA2253130C	A	288	317	24-alkylcholestmonoen- 3-ones	FAMILY
CA2253130C	A	319	345	24-alkylcholestdien-3-ones	FAMILY
CA2253130C	A	347	374	24-alkylcholesttrien-3-ones	FAMILY
CA2253130C	A	379	410	24- alkylcholesttetraen-3- ones	FAMILY
CA2255804C	A	60	77	polyene partricin	FAMILY
CA2255804C	T	40	49	partricin	FAMILY
CA2256633C	A	30	45	indolocarbazole	FAMILY
CA2257810C	A	223	241	alkylpolyglucoside	FAMILY
CA2257810C	A	92	112	.alpha.-hydroxy acid	FAMILY
CA2257810C	T	36	56	.alpha.-hydroxy acid	FAMILY
CA2261923C	A	0	24	Pyridyl-phtalazin diones	FAMILY
CA2261923C	A	115	122	halogen	FAMILY
CA2261923C	A	290	298	glycines	FAMILY
CA2261923C	T	0	36	Pyridazino [4,5-b]-quinoline 5-oxide	FAMILY
