CA2110291C	A	956	962	sulfur	SYSTEMATIC
CA2119782C	A	483	489	methyl	SYSTEMATIC
CA2119782C	A	59	72	cyclic sulfer	SYSTEMATIC
CA2144312C	A	160	183	2,5 octadienedioic acid	SYSTEMATIC
CA2144312C	A	185	208	1,7 octadienedioic acid	SYSTEMATIC
CA2144312C	A	210	236	2,4,6 octatrienedioic acid	SYSTEMATIC
CA2144312C	A	242	272	1,3,5,7 nonatetraenedioic acid	SYSTEMATIC
CA2144312C	A	274	300	2,5,8 decatrienedioic acid	SYSTEMATIC
CA2144312C	A	302	327	3,6 dodecadienedioic acid	SYSTEMATIC
CA2144312C	A	329	357	3,13 hexadecadienedioic acid	SYSTEMATIC
CA2144312C	A	80	86	carbon	SYSTEMATIC
CA2155014C	A	134	142	benzoate	SYSTEMATIC
CA2155014C	A	178	185	acetate	SYSTEMATIC
CA2155014C	A	199	210	C2 benzoate	SYSTEMATIC
CA2155014C	A	234	244	C4 acetate	SYSTEMATIC
CA2155014C	A	292	317	10-desacetyl baccatin III	SYSTEMATIC
CA2155014C	A	380	387	hydroxy	SYSTEMATIC
CA2155014C	A	73	98	10-desacetyl baccatin III	SYSTEMATIC
CA2156289C	A	359	409	3-O-(4-dimethylaminobutanoyl)-1,2-O-dioleylgycerol	SYSTEMATIC
CA2156289C	A	411	469	3-O-(2-dimethylamino-ethyl)carbamoyl-1,2-O-dioleylglycerol	SYSTEMATIC
CA2156289C	A	471	527	3-O-(2-diethylaminoethyl) carbamoyl-1,2-O-dioleylgycerol	SYSTEMATIC
CA2156289C	A	532	589	2-O-(2-diethylaminoethyl)carbamoyl-1,3-O-dioleoylglycerol	SYSTEMATIC
CA2157128C	A	160	168	hydrogen	SYSTEMATIC
CA2157128C	A	214	222	hydrogen	SYSTEMATIC
CA2157128C	A	264	272	hydrogen	SYSTEMATIC
CA2157128C	A	321	329	hydroxyl	SYSTEMATIC
CA2157128C	A	348	368	methoxyethoxymethoxy	SYSTEMATIC
CA2157128C	A	392	400	hydrogen	SYSTEMATIC
CA2157128C	A	505	512	pyridyl	SYSTEMATIC
CA2157128C	A	528	534	phenyl	SYSTEMATIC
CA2157128C	A	618	626	hydrogen	SYSTEMATIC
CA2158610C	A	223	229	methyl	SYSTEMATIC
CA2158610C	A	818	826	hydroxyl	SYSTEMATIC
CA2168021C	A	190	198	hydrogen	SYSTEMATIC
CA2168021C	A	219	227	hydrogen	SYSTEMATIC
CA2168021C	A	248	256	hydrogen	SYSTEMATIC
CA2168021C	A	277	285	hydrogen	SYSTEMATIC
CA2168021C	A	304	311	hydroxy	SYSTEMATIC
CA2168021C	A	499	507	hydrogen	SYSTEMATIC
CA2168021C	A	647	655	hydrogen	SYSTEMATIC
CA2168021C	A	700	707	hydroxy	SYSTEMATIC
CA2168021C	A	723	728	cyano	SYSTEMATIC
CA2168021C	A	746	754	carboxyl	SYSTEMATIC
CA2168021C	A	778	783	nitro	SYSTEMATIC
CA2168021C	A	785	790	amino	SYSTEMATIC
CA2168021C	A	792	805	aminocarbonyl	SYSTEMATIC
CA2168021C	A	908	916	nitrogen	SYSTEMATIC
