CA2143752C	A	281	282	H	FORMULA
CA2151377C	A	62	65	CH2	FORMULA
CA2151377C	A	715	716	O	FORMULA
CA2151377C	A	720	721	S	FORMULA
CA2151377C	A	87	90	CH2	FORMULA
CA2151377C	A	92	93	O	FORMULA
CA2151377C	A	97	98	S	FORMULA
CA2176796C	A	180	183	Na+	FORMULA
CA2176796C	A	184	186	H+	FORMULA
CA2176796C	A	312	315	Na+	FORMULA
CA2176796C	A	316	318	H+	FORMULA
CA2179955C	A	219	220	C	FORMULA
CA2179955C	A	259	260	C	FORMULA
CA2188267C	A	105	107	NH	FORMULA
CA2211982C	A	249	253	Na +	FORMULA
CA2211982C	A	254	257	H +	FORMULA
CA2230960C	A	1923	1927	-CH=	FORMULA
CA2232880C	A	155	156	H	FORMULA
CA2232880C	A	74	75	F	FORMULA
CA2232880C	A	78	79	H	FORMULA
CA2232880C	A	86	87	F	FORMULA
CA2232880C	A	90	91	H	FORMULA
CA2232880C	A	94	95	F	FORMULA
CA2232880C	A	99	100	F	FORMULA
CA2302445C	A	264	265	H	FORMULA
CA2303509C	A	65	68	NH2	FORMULA
CA2375671C	A	191	204	-CH=CH-CH=CH-	FORMULA
CA2582949A1	A	846	850	Cu2+	FORMULA
CA2652501C	A	257	259	NH	FORMULA
CA2652501C	A	590	592	CH	FORMULA
CA2662732A1	A	129	130	H	FORMULA
CA2662732A1	A	142	144	OH	FORMULA
CA2835015A1	A	130	133	19F	FORMULA
CA2835015A1	A	67	70	18F	FORMULA
CA2835015A1	A	96	99	18F	FORMULA
CN101028510B	A	148	158	ZnSO4.7H2O	FORMULA
CN101084892A	A	108	112	CH3-	FORMULA
CN101084892A	A	124	135	CH2N(CH3)2-	FORMULA
CN101084892A	A	164	172	COOC2H5-	FORMULA
CN101084892A	A	76	79	HO-	FORMULA
CN101084892A	A	92	95	Br-	FORMULA
CN101084906A	A	689	696	-OCONH2	FORMULA
CN101092433A	A	335	340	AgNO3	FORMULA
CN101092433A	A	364	367	AgI	FORMULA
CN101092433A	A	452	454	Pt	FORMULA
